input_text,target_text
He plays there.,O orada oynar.
He respects me.,Bana saygı duyuyor.
He sang a song.,O bir şarkı söyledi.
He saw it also.,O da onu gördü.
He scolded her.,"O, onu azarladı."
He seems angry.,O kızgın görünüyor.
He seems angry.,O sinirli gözüküyor.
He seems happy.,O mutlu görünüyor.
He seems tired.,O yorgun görünüyor.
He sells fruit.,O meyve satıyor.
He should come.,O gelmeli.
He slapped her.,Ona tokat attı.
He sold us out.,"O, bizi sattı."
He surrendered.,O vazgeçti.
He trusted you.,O sana güvendi.
He walked away.,O uzaklaştı.
He walked home.,"O, eve yürüdü."
He wants to go.,O gitmek istiyor.
He was English.,"O, İngilizdi."
He was at home.,O evdeydi.
He was drowned.,"O, boğulmuştu."
He was hard up.,Beş parasızdı.
He was in pain.,O acı içindeydi.
He was invited.,O davet edildi.
He was my boss.,O benim patronumdu.
He was patient.,"O, sabırlıydı."
He was perfect.,O mükemmeldi.
He was put out.,O kovuldu.
He was stunned.,O sersemlemişti.
He went abroad.,O yurtdışına gitti.
He went to bed.,Yatmaya gitti.
He will not go.,"O, gitmeyecek."
He worked hard.,O çok çalıştı.
He works a lot.,O çok çalışır.
He's a big boy.,O büyük bir çocuk.
He's a bit shy.,O biraz utangaç.
He's a butcher.,O bir kasap.
He's a fanatic.,O bir fanatik.
He's a florist.,O bir çiçekçi.
He's a gambler.,O bir kumarbaz.
He's a man now.,O artık bir erkek.
He's a samurai.,O bir samuray.
He's a slacker.,O bir tembel.
He's a yes-man.,O bir dalkavuk.
He's all right.,O iyi.
He's an animal.,O bir hayvan.
He's an author.,O bir yazar.
He's an ex-con.,O bir sabıkalı.
He's an ex-con.,O bir eski hükümlü.
He's an outlaw.,O bir haydut.
He's depressed.,O depresyondadır.
He's dishonest.,O sahtekar.
He's henpecked.,O kılıbıktır.
He's impatient.,O sabırsızdır.
He's in danger.,O tehlikede.
He's in prison.,O hapiste.
He's my father.,Bu benim babam.
He's my friend.,O benim arkadaşım.
He's no doctor.,"O, doktor değil."
He's not going.,O gitmiyor.
He's not ready.,O hazır değil.
He's ready now.,O şimdi hazır.
He's so stupid.,O çok aptal.
He's too drunk.,O çok sarhoş.
He's uninsured.,O sigortasız.
He's very fast.,O çok hızlı.
He's very open.,O çok açık.
Heads or tails?,Tura mı yoksa yazı mı?
Hello everyone!,Herkese merhaba!
Hello everyone!,Herkese Merhaba.
"Hello, I'm Tom.","Merhaba, ben Tom."
Help Tom study.,Tom'un çalışmasına yardımcı ol.
Help is coming.,Yardım geliyor.
Here comes Tom.,İşte Tom geliyor.
Here is a book.,Burada bir kitap var.
Here is my key.,İşte anahtarım.
Here she comes.,İşte geliyor.
Here they come.,İşte geliyorlar.
Here's my card.,İşte benim kartım.
Here's my room.,İşte benim odam.
Here's the bus.,İşte otobüs geliyor.
Here's the key.,İşte anahtar.
Here's the map.,İşte harita.
"Here, sit down.",Buraya oturun.
"Here, try some.","İşte, biraz dene."
"Here, try this.","İşte, bunu dene."
"Hey, come here.","Hey, buraya gel."
Hi! What's new?,Selam! Ne haber?
"Hi, come on in.","Merhaba, içeri buyurun."
Hide that book.,O kitabı gizle.
Hide that book.,O kitabı sakla.
Hide the money.,Parayı sakla.
His head ached.,Başı ağrıyordu.
His name's Tom.,Onun adı Tom.
Hit the brakes.,Frene bas.
Hold Tom tight.,Tom'u sıkı tut.
Hold it for me.,Bunu benim için tut.
Hold your fire.,Ateş etmeyin.
How about that!,Buna ne dersin!
How about that!,Vay canına! Bu harika!
How about that!,Vay canına! Bu inanılmaz!
How about that!,Şu işe bakar mısın!
How about that!,Bak sen!
How am I doing?,Nasıl yapıyorum?
How are things?,Nasılsın?
How are things?,Nasıl gidiyor?
How bad was it?,O ne kadar kötüydü?
How can I help?,Nasıl yardımcı olabilirim?
How can I lose?,Nasıl kaybolabilirim?
How cold is it?,Ne kadar soğuk?
How deep is it?,O ne kadar derindir?
How did I look?,Nasıl görünüyordum?
How did it end?,O nasıl bitti.
How did we win?,Nasıl kazandık?
How did you do?,Nasıl yaptın?
How disgusting!,Ne iğrenç!
How do I do it?,Ben bunu nasıl yaparım?
How do we help?,Nasıl yardım ederiz?
How do we look?,Biz nasıl görünüyoruz?
How far was it?,Ne kadar uzaktı?
How good is he?,O ne kadar iyi?
How hard is it?,Bu ne kadar zor?
How high is it?,O ne kadar yükseklikte?
How is Tom now?,Tom şimdi nasıl?
How is it made?,O nasıl yapılır?
How late is it?,O ne kadar geç kaldı?
How long is it?,O ne kadar uzunlukta?
How lucky I am!,Ne kadar şanslıyım!
How much is it?,Fiyatı ne kadar?
How old is Tom?,Tom kaç yaşında?
How old is she?,O kaç yaşında?
How perceptive!,Ne algısal!
How was Boston?,Boston nasıldı?
How was Hawaii?,Hawaii nasıldı?
How was dinner?,Akşam yemeği nasıldı?
How wide is it?,"O, ne kadar geniştir?"
How's business?,İş nasıl?
How's it going?,Nasılsın?
How's the wife?,Hanım nasıl?
How's the wife?,Yenge nasıl?
How's your arm?,Kolun nasıl?
How's your dad?,Baban nasıl?
How's your job?,İşiniz nasıl?
How's your leg?,Bacağın nasıl?
How's your son?,Oğlunuz nasıl?
"Hurry up, guys.",Acele edin arkadaşlar.
I accept gifts.,Hediyeleri kabul ederim.
I agreed to go.,Gitmeyi kabul ettim.
I almost cried.,Neredeyse ağladım.
I already know.,Ben zaten biliyorum.
I am Hungarian.,Ben Macar'ım.
I am a redhead.,Kızıl saçlıyım.
I am a shy boy.,Ben utangaç bir çocuğum.
I am a student.,Ben bir öğrenciyim.
I am a teacher.,Ben bir öğretmenim.
I am a tourist.,Ben bir turistim.
I am after him.,Onun peşindeyim.
I am in London.,Ben Londra'dayım.
I am in a spot.,Başım dertte.
I am like them.,Ben onlara benzerim.
I am off today.,Ben bugün izinliyim.
I am so lonely.,Ben çok yalnızım.
I am too short.,Ben çok kısayım.
I arrived last.,En son ulaştım.
I arrived late.,Geç ulaştım.
I assembled it.,Onu monte ettim.
I ate a banana.,Ben bir muz yedim.
I ate an apple.,Ben bir elma yedim.
I ate the meat.,Eti yedim.
I ate the meat.,Ben eti yedim.
I ate them all.,Onların hepsini yedim.
I ate too much.,Ben çok yedim.
I became angry.,Öfkeli oldum.
I began crying.,Ben ağlamaya başladım.
I began to cry.,Ağlamaya başladım.
I began to eat.,Ben yemeye başladım.
I began to run.,Koşmaya başladım.
I believe that.,Ben ona inanıyorum.
I believed Tom.,Tom'a inandım.
I bet it works.,Onun çalıştığına eminim.
I betrayed Tom.,Tom'a ihanet ettim.
I betrayed you.,Sana ihanet ettim.
I bike to work.,İşe bisikletle giderim.
I blame myself.,Kendimi suçluyorum.
I borrow money.,Ben borç para alırım.
I bought a car.,Ben bir araba satın aldım.
I bought a dog.,Bir köpek satın aldım.
I bought a hat.,Bir şapka aldım.
I bought those.,Onları satın aldım.
I broke a nail.,Bir tırnak kırdım.
I broke my arm.,Ben kolumu kırdım.
I broke my leg.,Ben bacağımı kırdım.
I broke my toe.,Ayak parmağımı kırdım.
I brought mine.,Benimkini getirdim.
I brought that.,Onu ben getirdim.
I brought wine.,Ben şarap getirdim.
I call him Tom.,Ona Tom derim.
I called a cab.,Bir taksi çağırdım.
I called ahead.,Önceden telefonla aradım.
I came by taxi.,Taksiyle geldim.
I came for Tom.,Tom için geldim.
I came for you.,Senin için geldim.
I came for you.,Sizin için geldim.
I came on foot.,Yaya geldim.
I came to help.,Yardım etmeye geldim.
I came to talk.,Konuşmak için geldim.
I can beat Tom.,Tom'u yenebilirim.
I can beat you.,Ben sizi yenebilirim.
I can bring it.,Onu getirebilirim.
I can call Tom.,Tom'u arayabilirim.
I can do magic.,Büyü yapabilirim.
I can fix that.,Onu tamir edebilirim.
I can fix this.,Bunu tamir edebilirim.
I can go first.,Önce gidebilirim.
I can hear Tom.,Tom'u duyabiliyorum.
I can hear you.,Seni duyabiliyorum.
I can help Tom.,Tom'a yardım edebilirim.
I can help you.,Sana yardım edebilirim.
I can kill you.,Seni öldürebilirim.
I can prove it.,Bunu kanıtlayabilirim.
I can run fast.,Hızlı koşabilirim.
I can see that.,Onu anlayabiliyorum.
I can see that.,Onu görebiliyorum.
I can take Tom.,Tom'u götürebilirim.
I can try that.,Onu deneyebilirim.
I can't bother.,Rahatsız edemem.
I can't decide.,Ben karar veremem.
I can't get in.,İçeri giremiyorum.
I can't get up.,Kalkamıyorum.
I can't go out.,Ben dışarı çıkamam.
I can't go yet.,Henüz gidemiyorum.
I can't refuse.,Reddedemem.
I can't say no.,Ben hayır diyemem.
I can't see it.,Onu göremiyorum.
I can't use it.,Onu kullanamam.
I changed jobs.,Ben iş değiştirdim.
I changed that.,Ben onu değiştirdim.
I cook for Tom.,Tom için yemek yapıyorum.
I cook for Tom.,Tom için yemek pişiriyorum.
I corrected it.,Bunu düzelttim.
I couldn't see.,Göremedim.
I count on Tom.,Tom'a güvenirim.
I created this.,Bunu ben yarattım.
I cut the rope.,Halatı kestim.
I cut the tape.,Bandı kestim.
I deceived Tom.,Tom'u kandırdım.
I deceived Tom.,Tom'u aldattım.
I decorated it.,Onu dekore ettim.
I deserve more.,Daha fazlasını hak ediyorum.
I deserve that.,Ben onu hak ediyorum.
I deserve this.,Ben bunu hak ediyorum.
I despised Tom.,Ben Tom'dan nefret ettim.
I did have fun.,Eğlendim.
I did it again.,Bunu tekrar yaptım.
I did it wrong.,Ben onu yanlış yaptım.
I did say that.,Ben onu söyledim.
I did warn Tom.,Tom'u uyardım.
I did warn you.,Seni uyardım.
I did warn you.,Sizi uyardım.
I didn't argue.,Ben tartışmadım.
I didn't budge.,Ben kımıldamadım.
I didn't cheat.,Hile yapmadım.
I didn't do it.,Ben onu yapmadım.
I didn't drive.,Araba sürmedim.
I didn't flunk.,Sınıfta kalmadım.
I didn't laugh.,Gülmedim.
I didn't leave.,Ben gitmedim.
I didn't panic.,Ben panik yapmadım.
I didn't reply.,Cevap vermedim.
I didn't sleep.,Ben uyumadım.
I didn't speak.,Ben konuşmadım.
I didn't study.,Çalışmadım.
I dislike eggs.,Ben yumurta sevmem.
I do apologize.,Özür diliyorum.
I do know that.,Onu biliyorum.
I do mean that.,Onu demek istiyorum.
I do not agree.,Aynı fikirde değilim.
I do notice it.,Onun farkındayım.
I do that here.,Onu burada yapıyorum.
"I do that, too.",Bunu ben de yaparım.
I don't belong.,Ben ait değilim.
I don't follow.,Ben izlemiyorum.
I don't gamble.,Kumar oynamam.
I don't get it.,Anlamadım.
I don't get it.,Ben onu anlamıyorum.
I don't gossip.,Dedikodu yapmam.
I don't recall.,Ben hatırlamıyorum.
I don't recall.,Hatırlamıyorum.
I don't see it.,Ben onu görmüyorum.
I don't use it.,Onu kullanmam.
I drank a beer.,Ben bir bira içtim.
I drank coffee.,Kahve içtim.
I drink coffee.,Kahve içerim.
I eat anything.,Ben her şeyi yerim.
I enjoy movies.,Filmleri seviyorum.
