input_text,target_text
We all cried a lot.,Hepimiz çok ağladık.
We all fell asleep.,Hepimiz uykuya daldık.
We all felt hungry.,Hepimiz aç hissettik.
We all have to die.,Hepimiz ölmek zorundayız.
We all have to eat.,Hepimiz yemeliyiz.
We all have to eat.,Hepimiz yemek zorundayız.
We all played well.,Hepimiz iyi oynadık.
We all respect Tom.,Biz hepimiz Tom'a saygı duyuyoruz.
We also found this.,Biz ayrıca bunu bulduk.
We always eat well.,Biz her zaman iyi yiyoruz.
We appreciate that.,Onu takdir ediyoruz.
We are Australians.,Biz Avustralyalılarız.
We are against war.,Biz savaşa karşıyız.
We are busy people.,Biz meşgul insanlarız.
We are defenseless.,Biz savunmasızız.
We are from France.,Biz Fransalıyız.
We are guinea pigs.,Biz kobaylarız.
We are in for rain.,Yağmur yüzünden evdeyiz.
We are really late.,Gerçekten geç kaldık.
We are watching TV.,Biz TV izliyoruz.
We are what we are.,Biz neysek oyuz.
We are what we are.,Neysek oyuz.
We aren't bluffing.,Biz blöf yapmıyoruz.
We aren't children.,Biz çocuk değiliz.
We aren't dead yet.,Biz henüz ölmedik.
We aren't done yet.,Henüz hazır değiliz.
We aren't prepared.,Hazır değiliz.
We aren't sleeping.,Biz uyumuyoruz.
We argue every day.,Biz her gün tartışıyoruz.
We argued politics.,Biz politika tartıştık.
We ate lunch early.,Biz öğle yemeğini erken yedik.
We ate potato soup.,Patates çorbası içtik.
We ate some apples.,Birkaç elma yedik.
We barely survived.,Güçlükle hayatta kaldık.
We basically agree.,Aslında aynı fikirdeyiz.
We beat the man up.,Biz adamı dövdük.
We beat them twice.,Onları iki kere yendik.
We belong together.,Birbirimize bağlıyız.
We better be going.,Gitsek iyi olur.
We came to see you.,Sizi görmek için geldik.
We came to see you.,Seni görmek için geldik.
We can accept that.,Onu kabul edebiliriz.
We can all do this.,Hepimiz bunu yapabiliriz.
We can all do this.,Bunu hepimiz yapabiliriz.
We can change that.,Onu değiştirebiliriz.
We can do anything.,Her şeyi yapabiliriz.
We can do it again.,Bunu tekrar yapabiliriz.
We can go together.,Birlikte gidebiliriz.
We can handle that.,Onun üstesinden gelebiliriz.
We can handle this.,Bunu idare edebiliriz.
We can hardly wait.,Neredeyse bekleyemeyiz.
We can make a deal.,Bir anlaşma yapabiliriz.
We can make a deal.,Biz anlaşma yapabiliriz.
We can protect Tom.,Tom'u koruyabiliriz.
We can protect you.,Seni koruyabiliriz.
We can protect you.,Sizi koruyabiliriz.
We can rely on Tom.,Tom'a güvenebiliriz.
We can take a hint.,Biz leb demeden leblebiyi anlayabiliriz.
We can take a hint.,Leb demeden leblebiyi anlayabiliriz.
We can talk to Tom.,Tom'la konuşabiliriz.
We can't afford it.,Bunu göze alamayız.
We can't be killed.,Biz öldürülemeyiz.
We can't do it now.,Onu şimdi yapamayız.
We can't forget it.,Onu unutamayız.
We can't help that.,Ona yardım edemeyiz.
We can't help that.,Elimizde değil.
We can't interfere.,Biz müdahale edemeyiz.
We can't just quit.,Şimdi ayrılamayız.
We can't leave Tom.,Tom'u bırakamayız.
We can't leave now.,Şimdi ayrılamayız.
We can't lose hope.,Umudumuzu kaybedemeyiz.
We can't risk that.,Onu riske atamayız.
We can't stay here.,Burada kalamayız.
We can't stop here.,Burada duramayız.
We can't swim here.,Biz burada yüzemeyiz.
We can't talk here.,Burada konuşamayız.
We can't trust Tom.,Biz Tom'a güvenemeyiz.
We can't trust you.,Sana güvenemeyiz.
We can't turn back.,Geri dönemeyiz.
We chartered a bus.,Biz bir otobüs kiraladık.
We chatted briefly.,Biz kısaca sohbet ettik.
We considered that.,Onu düşündük.
We could do better.,Biz daha iyi yapabiliriz.
We could handle it.,Onu idare edebiliriz.
We could sell that.,Bunu satabiliriz.
We could try again.,Yeniden deneyebilirdik.
We could use a tow.,Bir çekme halatı kullanabiliriz.
We couldn't go out.,Dışarı çıkamadık.
We decided to stay.,Kalmaya karar verdik.
We did have a deal.,Bir anlaşmamız vardı.
We did it together.,Onu birlikte yaptık.
We did pretty well.,Biz oldukça iyi yaptık.
We didn't ask them.,Biz onlara sormadık.
We didn't break in.,Zorla girmedik.
We didn't break up.,Biz ayrılmadık.
We didn't build it.,Onu biz inşa etmedik.
We didn't complain.,Biz şikayet etmedik.
We didn't find Tom.,Tom'u bulmadık.
We didn't get that.,Bunu anlamadık.
We didn't hurt Tom.,Tom'u incitmedik.
We didn't kill Tom.,Tom'u öldürmedik.
We didn't run away.,Biz kaçmadık.
We do not know her.,Onu tanımıyoruz.
We do not know him.,Onu tanımıyoruz.
We do what we want.,İstediğimizi yaparız.
We dodged a bullet.,Ucuz atlattık.
We don't accept it.,Onu kabul etmiyoruz.
We don't advertise.,Reklam yapmayız.
We don't get along.,Biz geçinmeyiz.
We don't have long.,Bizim uzun vaktimiz yok.
We don't have much.,Çok şeye sahip değiliz.
We don't have that.,Ona sahip değiliz.
We don't have time.,Zamanımız yok.
We don't know that.,Bunu bilmiyoruz.
We don't like math.,Biz matematiği sevmeyiz.
We don't like rain.,Yağmuru sevmeyiz.
We don't live here.,Burada yaşamıyoruz.
We don't need that.,Ona ihtiyacımız yok.
We don't need them.,Onlara ihtiyacımız yok.
We don't negotiate.,Müzakere yapmayız.
We don't talk much.,Çok fazla konuşmayız.
We don't trust Tom.,Tom'a güvenmiyoruz.
We don't trust you.,Sana güvenmiyoruz.
We don't want pork.,Domuz eti istemiyoruz.
We don't want that.,Biz onu istemiyoruz.
We drank all night.,Bütün gece içtik.
We drove all night.,Bütün gece araba sürdük.
We drove for miles.,Millerce araba sürdük.
We enjoyed skating.,Biz patenle kaymayı seviyorduk.
We expected better.,Daha iyisini umuyorduk.
We expected to win.,Biz kazanmayı bekliyorduk.
We feel frustrated.,Biz hayal kırıklığına uğramış hissediyoruz.
We followed orders.,Biz emirlere uyduk.
We found her alive.,Onu canlı bulduk.
We found him alive.,Biz onu canlı bulduk.
We found something.,Bir şey bulduk.
We gave all we had.,Sahip olduğumuz her şeyi verdik.
We gave it our all.,Canımızı dişimize taktık.
We gave it to them.,Bunu onlara verdik.
We get along great.,Biz harika geçiniriz.
We get it for free.,Biz onu ücretsiz alırız.
We go out together.,Birlikte çıkıyoruz.
We got a flat tire.,Bir patlak lastiğimiz var.
We got along great.,Biz çok iyi geçindik.
We got lucky there.,Orada şanslıyız.
We got many grapes.,Bir sürü üzümümüz var.
We got there early.,Biz oraya erken vardık.
We grow wheat here.,Biz burada buğday yetiştiririz.
We had a big fight.,Büyük bir dövüş yaptık.
We had a good time.,İyi zaman geçirdik.
We had a nice time.,Güzel vakit geçirdik.
We had a rough day.,Zor bir gün geçirdik.
We had an argument.,Bir tartışmamız vardı.
We had fun dancing.,Dans ederek eğlendik.
We had fun with it.,Onunla eğlendik.
We had huge losses.,Büyük kayıplarımız vardı.
We had lunch early.,Öğle yemeğini erken yedik.
We had our chances.,Bizim fırsatlarımız vardı.
We had our reasons.,Bizim nedenlerimiz vardı.
We had so much fun.,Biz çok eğlendik.
We had the chances.,Şansımız vardı.
We had the passion.,Tutkumuz vardı.
