input_text,target_text
You may wait outside.,Dışarıda bekleyebilirsin.
You mean a lot to me.,Benim için çok şey ifade ediyorsun.
You might be correct.,Doğru olabilirsin.
You might go to jail.,Hapishaneye gidebilirsin.
You might need those.,Onlara ihtiyacın olabilir.
You might want to go.,Gitmek isteyebilirdiniz.
You missed something.,Bir şey kaçırdın.
You missed the point.,Sen anlamadın.
You misunderstood me.,Beni yanlış anladın.
You must be Canadian.,Kanadalı olmalısın.
You must be cautious.,Dikkatli olmalısın.
You must be confused.,Kafan karışmış olmalı.
You must be freezing.,Donuyor olmalısın.
You must be mistaken.,Sen yanılmış olmalısın.
You must be new here.,Burada yeni olmalısın.
You must be new here.,Sen yenisin galiba.
You must be so proud.,Çok gururlu olmalısın.
You must be starving.,Açlıktan ölüyor olmalısın.
You must be thrilled.,Heyecanlı olmalısın.
You must be vigilant.,Uyanık olmalısın.
You must be vigilant.,Tetikte olmalısın.
You must do as I say.,Söylediğim gibi yapmalısın.
You must let me help.,Yardım etmeme izin vermelisin.
You must not come in.,İçeri girmemelisin.
You must not do that.,Onu yapmamalısın.
You must not give up.,Pes etmemelisin.
You must not give up.,Vazgeçmemelisin.
You must remain calm.,Sakin kalmalısın.
You must stay hidden.,Saklı kalmalısın.
You must talk to Tom.,Tom'la konuşmalısın.
You must tell no one.,Hiç kimseye söylememelisin.
You must work faster.,Sen daha hızlı çalışmalısın.
You must've seen Tom.,Tom'u görmüş olmalısın.
You mustn't touch it.,Ona dokunmamalısın.
You nearly killed me.,Neredeyse beni öldürüyordun.
You need a boyfriend.,Bir erkek arkadaşa ihtiyacın var.
You need a secretary.,Bir sekretere ihtiyacın var.
You need new clothes.,Yeni elbiselere ihtiyacın var.
You need supervision.,Denetime ihtiyacın var.
You need to be there.,Orada olmalısın.
You need to be there.,Orada olman gerekiyor.
You need to call Tom.,Tom'u araman gerekiyor.
You need to eat more.,Biraz daha yemen gerekiyor.
You need to fix this.,Bunu düzeltmen gerekiyor.
You need to fix this.,Bunu tamir etmen gerekiyor.
You need to fix this.,Bunu tamir etmelisin.
You need to get help.,Yardım almalısın.
You need to get home.,Eve gitmen gerekir.
You need to help Tom.,Tom'a yardım etmelisin.
You need to lie down.,Yatmalısın.
You need to lie down.,Uzanmalısın.
You need to lie down.,Sere serpe yatmalısın.
You need to lie down.,Boylu boyunca yatmalısın.
You need to rest now.,Şimdi dinlenmen gerekiyor.
You need to rest now.,Şimdi dinlenmelisin.
You need to see this.,Bunu görmen lazım.
You need to see this.,Bunu görmen gerekiyor.
You need to see this.,Bunu görmelisin.
You need to see this.,Bunu görmek zorundasın.
You need to sober up.,Ayrılman gerekiyor.
You need to speak up.,Daha yüksek sesle konuşman gerekiyor.
You need what I have.,Sahip olduğum şeye ihtiyacın var.
You never trusted me.,Bana hiç güvenmedin.
You ought to do that.,Onu yapmalısın.
You overestimate him.,Ona fazla değer veriyorsun.
You owe me something.,Bana bir şey borçlusun.
You owe me the truth.,Bana gerçeği borçlusun.
You owe us that much.,Bize o kadar çok borçlusun.
You pay me very well.,Bana çok iyi maaş veriyorsun.
You people are scary.,Siz insanlar korkaksınız.
You people wait here.,Siz burada bekleyin.
