input_text,target_text
That's the end goal.,O nihai hedeftir.
That's the fun part.,O eğlence kısmı.
That's the last one.,O sonuncusu.
That's the only way.,Bu tek yol.
That's the priority.,Bu önceliktir.
That's the question.,Bu sorgudur.
That's the sad part.,O üzücü kısım.
That's the standard.,"O, standarttır."
That's too personal.,Bu çok kişisel.
That's too personal.,O çok kişisel.
That's true as well.,O da doğrudur.
That's unacceptable.,O kabul edilemez.
That's unbelievable.,O inanılmaz.
That's uncalled for.,O haksız.
That's very curious.,Bu çok tuhaf.
That's very distant.,O çok uzak.
That's very elegant.,O çok zarif.
That's very helpful.,Bu çok yararlı.
That's very serious.,Bu çok ciddi.
That's very serious.,Bu gerçekten ciddi.
That's very serious.,O çok ciddi.
That's very strange.,Bu çok tuhaf.
That's very unusual.,Bu çok sıra dışı.
That's way too much.,O çok fazla.
That's welcome news.,İyi haber budur.
That's what I heard.,Duyduğum bu.
That's what I meant.,Demek istediğim bu.
That's what I think.,Düşündüğüm şey bu.
That's what I wrote.,O yazdığım şeydir.
That's what I'll do.,O yapacağım şeydir.
That's what Tom did.,Tom'un yaptığı böyle.
That's what dogs do.,Köpeklerin yaptığı şey odur.
That's what love is.,İşte aşk budur.
That's what matters.,Önemli olan budur.
That's what they do.,Onların yaptığı budur.
That's what we have.,Sahip olduklarımız bu.
That's what we need.,O ihtiyacımız olan şey.
That's what we want.,Bizim istediğimiz o.
That's what's crazy.,Çılgın olan budur.
That's what's funny.,Komik olan budur.
That's what's weird.,Tuhaf olan budur.
That's what's wrong.,Yanlış olan budur.
That's where I live.,Bu yaşadığım yerdir.
That's where I work.,Çalıştığım yer bu.
That's where Tom is.,"O, Tom'un olduğu yer."
That's why I called.,Bu yüzden aradım.
That's why I did it.,Bu yüzden onu yaptım.
That's why I'm busy.,Meşgul olmamın nedeni budur.
That's why I'm here.,Burada olmamın nedeni odur.
That's why I'm here.,O nedenle buradayım.
That's why I'm here.,Bu yüzden buradayım.
That's why I'm here.,Bu nedenle buradayım.
That's why I'm late.,Bu yüzden geç kaldım.
That's why Tom came.,Tom'un gelme nedeni budur.
That's why Tom died.,Tom'un ölme nedeni bu.
That's why Tom left.,Tom bu yüzden terk etti.
That's why Tom quit.,Tom bu yüzden bıraktı.
That's your funeral.,"O, senin sorunundur."
That's your opinion.,O senin fikrin.
That's your problem.,O senin sorunun.
The TV doesn't work.,Televizyon çalışmıyor.
The air became warm.,Hava sıcak oldu.
The answer is money.,Cevap paradır.
The answer is right.,Cevap doğrudur.
The answer was easy.,Yanıt kolaydı.
The answer's tricky.,Cevap zor.
The apples are ripe.,Elmalar olgundurlar.
The auction is over.,Açık artırma bitti.
The baby kept quiet.,Bebek sessiz durdu.
The baby was crying.,Bebek ağlıyordu.
The baby's sleeping.,Bebek uyuyor.
The battery is dead.,Pil bitmiş.
The bell is ringing.,Zil çalıyor.
The bell rang again.,Zil yine çaldı.
The bell rang again.,Çan yine çaldı.
The bicycle is mine.,Bisiklet benim.
The blouse is clean.,Bulüz temizdir.
The boat is on fire.,Tekne yanıyor.
The boat is sinking.,Tekne batıyor.
The bottle is empty.,Şişe boş.
The box isn't empty.,Kutu boş değil.
The boy bowed to me.,Çocuk bana selam verdi.
The boy got scolded.,Çocuk azarladı.
The boy has no food.,Çocuğun hiç yiyeceği yok.
The boy wants a toy.,Çocuk bir oyuncak istiyor.
The boys kept quiet.,Çocuklar sessiz kalmayı sürdürdü.
The boys were quiet.,Çocuklar sakindi.
The bridge gave way.,Köprü çöktü.
The bus may be late.,Otobüs geç kalabilir.
The bus was crowded.,Otobüs kalabalıktı.
The bush is burning.,Çalı yanıyor.
The business failed.,İş başarısız oldu.
The butter went bad.,Tereyağı bozuldu.
