input_text,target_text
Hi.,Merhaba.
Hi.,Selam.
Run!,Kaç!
Run!,Koş!
Run.,Kaç!
Run.,Koş!
Who?,Kim?
Fire!,Ateş!
Fire!,Yangın!
Help!,Yardım et!
Jump.,Defol.
Stop!,Dur!
Stop!,Bırak!
Wait.,Bekle.
Do it.,Onu yap.
Go on.,Devam et.
Hello!,Merhaba.
Hello!,Selam.
Hurry!,Acele et!
I ran.,Koştum.
I see.,Anlıyorum.
I see.,Görüyorum.
I won.,Kazandım.
Oh no!,Oh hayır!
Relax.,Rahatla.
Smile.,Gülümse.
Attack!,Saldır!
Attack!,Hücum!
Eat it.,Bunu ye.
Eat up.,Silip süpür.
Freeze!,Kımıldama!
Freeze!,Olduğun yerde kal!
Go now.,Şimdi git.
Got it!,Anladım!
Got it?,Anladın mı?
He ran.,O koştu.
Hop in.,Atla.
I fell.,Ben düştüm.
I know.,Biliyorum.
I left.,Ben ayrıldım.
I lost.,Kayboldum.
I paid.,Ödedim.
I quit.,Ben istifa ettim.
I swim.,Yüzerim.
I work.,Çalışıyorum.
I'm 19.,Ben 19 yaşındayım.
I'm OK.,Ben iyiyim.
I'm up.,Ben uyanığım.
No way!,Mümkün değil!
Try it.,Bunu dene.
We try.,Biz deneriz.
We try.,Biz çabalarız.
We won.,Biz kazandık.
Why me?,Neden ben?
Why me?,Niçin ben?
Why me?,Niye ben?
Ask Tom.,Tom'a sor.
Be calm.,Sakin olun.
Be cool.,Sakin ol.
Be cool.,Rahat ol.
Be fair.,Adil ol.
Be kind.,Nazik ol.
Be nice.,Kibar ol.
Be nice.,Nazik ol.
Beat it.,Defol.
Burn it.,Yak onu.
Bury it.,Onu göm.
Call me.,Ara beni.
Drop it!,Kapat şu konuyu artık!
Fold it.,Onu katla.
Get Tom.,Tom'u alın.
Get out!,Çık dışarı!
Get out!,Defol!
Get out!,Yürü git!
Get out.,Defol.
Go away!,Defol.
Go away!,Yürü git!
Go away.,Defol.
Go home.,Eve git.
Go slow.,Yavaş git.
Goodbye!,Hoşça kalın.
Goodbye!,Hoşça kal.
Goodbye!,Güle güle.
Hang on!,Dayan!
Hang on!,Ha gayret!
He came.,Geldi.
He runs.,O koşar.
Help me.,Bana yardım et.
Help us.,Bize yardım et.
"Hi, Tom.","Merhaba, Tom."
Hit Tom.,Tom'a vur.
Hold it!,Olduğun yerde kal!
Hold on.,Bekle.
Hug Tom.,Tom'a sarıl.
I agree.,Kabul ediyorum.
I agree.,Aynı fikirdeyim.
I bowed.,Eğildim.
I cried.,Ağladım.
I dozed.,Uyudum.
I drive.,Araba kullanırım.
I drove.,Araba sürdüm.
I moved.,Taşındım.
