input_text,target_text
You're very sharp.,Çok keskinsin.
You're very smart.,Çok akıllısın.
You're very sweet.,Çok tatlısın.
You're very timid.,Çok ürkeksin.
You're very upset.,Çok üzgünsün.
You're very young.,Sen çok gençssin.
"You're wrong, Tom.","Sen yanılıyorsun, Tom."
You've been great.,Harikaydın.
You've been there.,Sen oradaydın.
You've done a lot.,Çok şey yaptın.
You've got a deal.,Bir anlaşman var.
You've got a rash.,Senin bir isiliğin var.
You've got cancer.,Kanserin var.
You've got it now.,O artık senin.
You've got skills.,Yeteneklerin var.
You've got to win.,Kazanmak zorundasın
You've gotten fat.,Şişmanladın.
You've had enough.,Yeterince yaşadın.
You've never lost.,Hiç kaybolmadın.
You've seen worse.,Daha kötüsünü gördün.
Your arm's broken.,Kolun kırık.
Your book is here.,Kitabın burada.
Your face is pale.,Yüzünüz solgun.
Your feet are big.,Senin ayakların büyük.
Your hat is silly.,Sizin şapka aptalca.
Your house is big.,Eviniz büyük.
Your house is big.,Senin evin büyük.
Your idea is good.,Senin fikrin iyi.
Your lies pain me.,Senin yalanların beni üzüyor.
Your lips are red.,Dudakların kırmızı.
"Your name, please.","Adınız, lütfen."
"Your name, please.","Adın, lütfen."
Your room is neat.,Sizin odanız temiz.
Your room's ready.,Odan hazır.
Your room's ready.,Senin odan hazır.
Your seat's there.,Senin koltuğun orada.
Your time is over.,Vaktin bitti.
Your vote matters.,Sizin oyunuz önemlidir.
Your wife is here.,Karın burada.
Your work is done.,İşin tamam.
A boy ran up to me.,Bir çocuk bana doğru koştu.
A cat is not human.,Bir kedi insan değildir.
A cat scratched me.,Bir kedi beni beni tırmaladı.
A child is missing.,Bir çocuk kayıp.
A child needs love.,Bir çocuğun sevgiye ihtiyacı vardır.
A guard is outside.,Bir koruma dışarıda.
A guard is outside.,Bir bekçi dışarıda.
A guard is outside.,Dışarıda bir gardiyan var.
A lot has happened.,Birçok şey oldu.
A man overtook her.,Bir adam onu ele geçirdi.
A revolt broke out.,Bir ayaklanma patlak verdi.
A storm is brewing.,Bir fırtına patlamak üzeredir.
A typhoon's coming.,Bir tayfun geliyor.
Add it to the list.,Onu listeye ekle.
Admission was free.,Giriş ücretsizdi.
All apples are red.,Bütün elmalar kırmızıdır.
All is quiet again.,Her şey tekrar sakin.
All is quiet again.,Her şey tekrar sessiz.
All men are mortal.,Bütün insanlar ölümlüdür.
All men want money.,Bütün insanlar para isterler.
All my plants died.,Tüm bitkilerim öldü.
All of us are busy.,Hepimiz meşgulüz.
All of us know Tom.,Tom'u hepimiz tanırız.
All of us like Tom.,"Hepimiz Tom'dan hoşlanıyoruz, değil mi?"
All of us like her.,Hepimiz onu severiz.
All of us like you.,Hepimiz seni seviyoruz.
All of us stood up.,Hepimiz ayağa kalktık.
All sugar is sweet.,Bütün şeker tatlıdır.
All systems are go.,Tüm sistemler denemedir.
All we do is study.,Bütün yapacağımız çalışmaktır.
All were satisfied.,Herkes memnundu.
All you do is work.,Yapacağın tek şey çalışmak
Allow me to finish.,Bitirmeme izin ver.
Am I being foolish?,Ben aptal mı oluyorum?
Am I being foolish?,Aptalca mı davranıyorum?
Am I bothering you?,Seni rahatsız ediyor muyum?
Am I confusing you?,Kafanı karıştırıyor muyum?
Am I free to leave?,Gidebilir miyim?
Am I free to leave?,Gitmekte özgür müyüm?
Am I going to jail?,Hapse girecek miyim?
Am I seeing things?,Ben hayal mi görüyorum.
Am I too demanding?,Çok talepkar mıyım?
An idea came to me.,Aklıma bir fikir geldi.
Another day passed.,Bir gün daha geçti.
Answer my question.,Soruma cevap ver.
Answer my question.,Sorumu yanıtla!
Any child knows it.,Herhangi bir çocuk onu bilir.
Anybody can use it.,Herkes bunu kullanabilir.
Anyhow let's begin.,Ne olursa olsun başlayalım.
Anyone can do that.,Herhangi biri onu yapabilir.
Anything goes here.,Oraya bir şey gidiyor.
Anything will help.,Her şey yardımcı olacaktır.
Applause broke out.,Alkış patlak verdi.
Are meals included?,Yemekler dahil mi?
Are my children OK?,Çocuklarım iyi mi?
Are these for sale?,Bunlar satılık mı?
Are these from Tom?,Bunlar Tom'dan mı?
Are they all ready?,Onların hepsi hazır mı?
Are they criminals?,Onlar suçlu mu?
Are they pacifists?,Onlar barış yanlısı mı?
Are they poisonous?,Onlar zehirli mi?
Are they ready yet?,Henüz onlar hazır mı?
Are they satisfied?,Onlar memnun mu?
Are they satisfied?,Memnunlar mı?
Are they still mad?,Onlar hâlâ kızgın mı?
Are things bad now?,Artık işler kötü mü?
Are we bad parents?,Biz kötü ebeveyn miyiz?
Are we coming back?,Geri dönüyor muyuz?
Are we leaving now?,Şimdi gidiyor muyuz?
Are we on schedule?,Vaktinde miyiz?
Are we ready to go?,Gitmek için hazır mıyız?
Are you a Buddhist?,Bir budist misin?
Are you a Canadian?,Sen bir Kanadalı mısın?
Are you a bachelor?,Bekar mısın?
Are you a believer?,Allah'a inanır mısınız?
Are you a criminal?,Bir sabıkalı mısın?
Are you a musician?,Bir müzisyen misiniz?
Are you a musician?,Bir müzisyen misin?
Are you a prisoner?,Bir mahkum musun?
Are you a prisoner?,Sen bir tutuklu musun?
Are you a reporter?,Sen bir muhabir misin?
Are you about done?,İşin bitti mi?
Are you about done?,İşin bitmek üzere mi?
Are you all morons?,Hepiniz geri zekalı mısınız?
Are you an atheist?,Sen bir ateist misin?
Are you an athlete?,Sen bir atlet misin?
Are you an elitist?,Sen bir seçkinci misin?
Are you an elitist?,Elitist misin?
Are you analytical?,Sen analitik misin?
Are you badly hurt?,Kötü yaralandın mı?
Are you better now?,Şimdi daha iyi misin?
Are you blaming me?,Beni mi suçluyorsun?
Are you bored here?,Burada sıkıldın mı?
Are you both crazy?,Her ikiniz de deli misiniz?
Are you both drunk?,Her ikiniz de sarhoş musunuz?
Are you busy today?,Bugün meşgul müsünüz?
Are you busy today?,Bugün meşgul müsün?
Are you courageous?,Yürekli misin?
Are you dating Tom?,Tom'la çıkıyor musun?
Are you dependable?,Sen güvenilir misin?
Are you doing well?,iyimisin?
Are you doing well?,İyi yapıyor musun?
Are you down there?,Aşağıda mısın?
Are you easy-going?,Sen uysal mısın?
Are you ever happy?,Sen hiç mutlu musun?
Are you feeling OK?,İyi hissediyor musunuz?
Are you free today?,Bugün boş musun?
Are you frightened?,Korkuyor musun?
Are you from Kyoto?,Kyotolu musunuz?
Are you going home?,Eve gidiyor musun?
Are you going home?,Eve mi gidiyorsun?
Are you going home?,Eve mi gidiyorsunuz?
"Are you going, too?",Sen de gidiyor musun?
"Are you going, too?",Sen de mi gidiyorsun?
Are you good at it?,Bunda iyi misin?
Are you guys armed?,Siz silahlı mısınız?
Are you guys armed?,Siz arkadaşlar silahlı mısınız?
Are you guys close?,Siz yakın mısınız?
Are you guys close?,Siz arkadaşlar yakın mısınız?
Are you guys crazy?,Siz deli misiniz?
Are you guys crazy?,Siz arkadaşlar deli misiniz?
Are you guys happy?,Siz mutlu musunuz?
Are you guys ready?,Hazır mısınız?
Are you guys ready?,Siz arkadaşlar hazır mısınız?
Are you happy here?,Burada mutlu musun?
"Are you happy, Tom?","Mutlu musun, Tom?"
Are you having fun?,Sen eğleniyor musun?
Are you her friend?,Onun arkadaşı mısın?
Are you here alone?,Burada yalnız mısın?
Are you here alone?,Burada yalnız başına mısın?
Are you here alone?,Burada tek başına mısın?
Are you home alone?,Evde yalnız mısın?
Are you hungry now?,Şimdi aç mısınız?
Are you hungry yet?,Henüz aç mısın?
Are you hungry yet?,Henüz aç mısınız?
Are you illiterate?,Okuma yazma bilmiyor musun?
Are you in a hurry?,Aceleniz var mı?
Are you in trouble?,Başın dertte mi?
Are you innovative?,Yenilikçi misin?
Are you interested?,İlgileniyor musunuz?
Are you kidding me?,Benimle dalga mı geçiyorsun?
Are you kidding me?,Benimle alay mı ediyorsun?
Are you mad at Tom?,Tom'a kızgın mısın?
Are you methodical?,Sen düzenli misin?
Are you mocking me?,Benimle alay mı ediyorsun?
Are you on holiday?,Tatilde misiniz?
Are you optimistic?,İyimser misin?
Are you overweight?,Şişman mısın?
Are you prejudiced?,Sen önyargılı mısın?
Are you productive?,Sen üretken misin?
Are you quite sure?,Oldukça emin misin?
"Are you ready, Tom?","Hazır mısın, Tom?"
Are you really Tom?,Sen gerçekten Tom musun?
Are you registered?,Kayıtlı mısınız?
Are you scared now?,Şimdi korkuyor musun?
Are you sick of me?,Benden bıktın mı?
Are you sleepy yet?,Hâlâ uykulu musunuz?
Are you still busy?,Hala meşgul müsün?
Are you still busy?,Hâlâ meşgul müsün?
Are you still cold?,Hâlâ üşüyor musun?
Are you still here?,Hâlâ burada mısın?
Are you still home?,Sen hâlâ evde misin?
Are you still open?,Hâlâ açık mısınız?
Are you still sick?,Hâlâ hasta mısın?
Are you still sure?,Hâlâ emin misin?
Are you sure of it?,Bunun hakkında emin misin?
Are you teasing me?,Benimle alay mı ediyorsun?
Are you that dense?,O kadar yoğun musun?
Are you the doctor?,Doktor sen misin?
"Are you there, Tom?","Orada mısın, Tom?"
Are you two hungry?,İkiniz aç mısınız?
Are you two hungry?,Siz ikiniz aç mısınız?
Are you using that?,Onu kullanıyor musun?
Are you vegetarian?,Vejetaryen misin?
Are you vegetarian?,Vejetaryen misiniz?
Are you vegetarian?,Sen vejetaryen misin?
Are your eyes open?,Gözleriniz açık mı?
Are your eyes open?,Gözlerin açık mı?
Are your feet cold?,Ayakların üşüyor mu?
Are your shoes new?,Ayakkabılarınız yeni mi?
Aren't you all mad?,Hepiniz deli değil misiniz?
Aren't you anxious?,Endişeli değil misin?
Aren't you ashamed?,Utanmıyor musunuz?
Aren't you ashamed?,Utanmıyor musun?
Aren't you curious?,Meraklı değil misin?
Aren't you curious?,Meraklı değil misiniz?
Aren't you doctors?,Siz doktor değil misiniz?
Aren't you excited?,Sen heyecanlı değil misin?
Aren't you furious?,Öfkeli değil misin?
Aren't you in pain?,Acı çekmiyor musun?
Aren't you in town?,Şehirde değil misin?
Aren't you in town?,Kasabada değil misiniz?
Aren't you insured?,Sen sigortalı değil misin?
Aren't you jealous?,Kıskanç değil misin?
Aren't you married?,Evli değil misin?
Aren't you married?,Evli değil misiniz?
Aren't you nervous?,Sinirli değil misin?
Aren't you nervous?,Sinirli değil misiniz?
Aren't you over 18?,18 yaşın üstünde değil misin?
Aren't you pleased?,Memnun değil misin?
Aren't you psyched?,Heyecanlı değil misin?
Aren't you psychic?,Sen medyum değil misin?
Aren't you related?,Siz akraba değil misiniz?
Aren't you retired?,Sen emekli değil misin?
Aren't you sisters?,Siz kız kardeş değil misiniz?
Aren't you thirsty?,Susamadın mı?
Aren't you thirsty?,Susamadınız mı?
Aren't you worried?,Endişeli değil misin?
Ask Tom for advice.,Tom'dan tavsiye iste.
Ask Tom to call me.,Tom'un beni aramasını iste.
Ask Tom to join us.,Tom'un bize katılmasını iste.
Ask for more money.,Daha fazla para isteyin.
Ask her for advice.,Ondan tavsiye iste.
Ask him for advice.,Ondan tavsiye iste.
Attendance is free.,Katılım ücretsiz.
Back away from Tom.,Tom'dan uzaklaş.
Back up your files.,Dosyalarını yedekle.
Bananas are yellow.,Muzlar sarıdır.
Baseball is boring.,Beyzbol sıkıcıdır.
Be a good listener.,İyi bir dinleyici olun.
Be careful with it.,Onunla dikkatli ol.
Be kind to the old.,Yaşlılara karşı iyi kalpli olun.
Beer contains hops.,Bira şerbetçiotu içerir.
Better him than me.,Ben olmaktansa onun olması daha iyi.
Big boys don't cry.,Büyük oğlanlar ağlamaz.
Birds are chirping.,Kuşlar cıvıldıyor.
Black is beautiful.,Siyah güzeldir.
Books fascinate me.,Kitaplar beni büyüler.
Boston is changing.,Boston değişiyor.
Both girls laughed.,Kızların her ikisi de güldü.
Both men were shot.,Her iki adam da vuruldu.
Both soldiers died.,Her iki asker öldü.
Both women grinned.,Her iki kadın sırıttı.
Boy that was close.,Yakın olan çocuk.
"Boys, be ambitious.","Çocuklar, hırslı olun."
Breakfast is ready.,Kahvaltı hazır.
Bring Tom with you.,Tom'u yanında getir.
Bring Tom with you.,Tom'u seninle getir.
Bring me the flute.,Bana flütü getir.
Bring your friends.,Arkadaşlarını getir.
Bring your own mug.,Kendi kupanızı getirin.
"Buy low, sell high.","Düşük al, yüksek sat."
Caffeine is a drug.,Kafein bir uyuşturucudur.
Call 110 right now.,Hemen şimdi 110'u arayın.
Call 110 right now.,Hemen şimdi 110'u ara.
Call me right away.,Beni hemen ara.
Call me right back.,Beni derhal tekrar ara.
Call off your dogs.,Köpeklerini durdur.
Camp ends tomorrow.,Kamp yarın sona eriyor.
Can I borrow a pen?,Bir kalem ödünç alabilir miyim?
Can I borrow those?,Ben onları ödünç alabilir miyim?
Can I borrow yours?,Seninkini ödünç alabilir miyim?
Can I call you Tom?,Sana Tom diyebilir miyim?
Can I check in now?,Şimdi giriş yapabilir miyim?
Can I count on Tom?,Tom'a güvenebilir miyim?
Can I count on you?,Sana güvenebilir miyim?
Can I do it myself?,Bunu kendim yapabilir miyim?
Can I do that here?,Onu burada yapabilir miyim?
Can I drop you off?,Seni araçtan indirebilir miyim?
Can I get a pillow?,Bir yastık alabilir miyim?
Can I get a refund?,Para iadesi alabilir miyim?
Can I get a tattoo?,Bir dövme yaptırabilir miyim?
Can I go there now?,Şimdi oraya gidebilir miyim?
Can I have a donut?,Bir çörek alabilir miyim?
Can I have a donut?,Bir lokma alabilir miyim?
Can I have it back?,Onu geri alabilir miyim?
Can I hide in here?,Burada gizlenebilir miyim?
Can I open my eyes?,Gözlerimi açabilir miyim?
Can I question Tom?,Tom'a soru sorabilir miyim?
Can I rent rackets?,Raketleri kiralayabilir miyim?
Can I say it aloud?,Yüksek sesle söyleyebilir miyim?
Can I see it again?,Onu tekrar görebilir miyim?
Can I see that one?,Ben onu görebilir miyim?
Can I see this one?,Ben bunu görebilir miyim?
Can I sit with Tom?,Tom'la oturabilir miyim?
Can I sit with you?,Sizinle oturabilir miyim?
Can I speak to Tom?,Tom'la konuşabilir miyim?
Can I speak to you?,Sizinle konuşabilir miyim?
Can I take a break?,Mola verebilir miyim?
Can I take it home?,Bunu eve götürebilir miyim?
Can I tell Tom why?,Nedenini Tom'a söyleyebilir miyim?
Can I try it later?,Onu daha sonra deneyebilir miyim?
Can I try one more?,Bir daha deneyebilir miyim?
Can I use your pen?,Ben senin kalemini kullanabilir miyim?
Can Tom be trusted?,Tom'a güvenilebilinir mi?
Can Tom be trusted?,Tom'a güvenilebilir mi?
Can Tom do the job?,Tom işi yapabilir mi?
