input_text,target_text
Did you hear that?,Onu duydun mu?
Did you kiss Mary?,Mary'yi öptün mü?
Did you know that?,Onu biliyor muydunuz?
Did you know this?,Bunu biliyor muydun?
Did you lie to me?,Bana yalan söyledin mi?
Did you like that?,Ondan hoşlandın mı?
Did you live here?,Burada yaşadın mı?
Did you make this?,Bunu sen mi yaptın?
Did you mean that?,Bunu mu demek istediniz?
Did you mean this?,Bunu mu demek istedin?
Did you move this?,Bunu hareket ettirdin mi?
Did you notice it?,Onu fark ettin mi?
Did you phone Tom?,Tom'a telefon açtın mı?
Did you phone him?,Ona telefon ettin mi?
Did you pick this?,Sen bunu topladın mı?
Did you read that?,Onu okudun mu?
Did you read them?,Onları okudun mu?
Did you read this?,Bunu okudun mu?
Did you record it?,Onu kaydettin mi?
Did you salt this?,Buna tuz koydun mu?
Did you say three?,Üç mü dedin?
Did you send them?,Onları gönderdin mi?
Did you send them?,Onları gönderdiniz mi?
Did you shoot Tom?,Tom'a ateş ettin mi?
Did you sign this?,Bunu imzaladın mı?
Did you swim much?,Çok yüzdün mü?
Did you wait long?,Uzun süre bekledin mi?
Did you want this?,Bunu istedin mi?
Did you wash that?,Onu yıkadın mı?
Didn't I say that?,Onu söylemedim mi?
Didn't I tell you?,Ben sana söylemedim mi?
Didn't I warn you?,Seni uyarmadım mı?
Didn't you go out?,Dışarı çıkmadın mı?
Didn't you see it?,Onu görmedin mi?
Diet is important.,Diyet önemlidir.
Disable the alarm.,Alarmı devre dışı bırak.
Diversity is good.,Çeşitlilik güzeldir.
Do I deserve this?,Bunu hak ediyor muyum?
Do I have a fever?,Ateşim var mı?
Do I have to swim?,Yüzmem gerekiyor mu?
Do I have to swim?,Yüzmek zorunda mıyım?
Do I look nervous?,Gergin mi görünüyorum?
Do I look worried?,Endişeli görünüyor muyum?
Do I need a nurse?,Bir hemşireye ihtiyacım var mı?
Do I need surgery?,Ameliyata ihtiyacım var mı?
Do ants have ears?,Karıncaların kulakları var mı?
Do as you're told.,Sana söylenildiği gibi yap.
Do it by yourself.,Onu tek başına yap.
Do it for my sake.,Onu hatırım için yap.
Do something else.,Başka bir şey yap.
Do that once more.,Bunu bir kez daha yap.
Do the doors lock?,Kapılar kilitleniyor mu?
Do the unexpected.,Beklenmeyeni yap.
Do they have jobs?,Onların işi var mı?
Do they have that?,Onlarda var mı?
Do they have that?,Onlarda var mıymış?
Do they like wine?,Onlar şarap sever mi?
Do they work here?,Onlar burada mı çalışıyorlar?
Do we have a deal?,Bizim bir anlaşmamız var mı?
Do we have to pay?,Ödemek zorunda mıyız?
"Do you agree, Tom?","Katılıyor musun, Tom?"
Do you always win?,Her zaman kazanır mısın?
Do you believe it?,Buna inanıyor musun?
Do you believe me?,Bana inanıyor musun?
Do you bind books?,Kitapları ciltler misin?
Do you drink beer?,Bira içer misin?
Do you drink beer?,Bira içer misiniz?
Do you drink wine?,Şarap içer misin?
"Do you drink, Tom?","İçer misin, Tom?"
Do you eat salads?,Salata yer misin?
Do you ever laugh?,Hiç güler misin?
Do you ever sleep?,Hiç uyur musun?
Do you ever teach?,Hiç öğretmenlik yaptın mı?
