input_text,target_text
I threw Tom an apple.,Tom'a bir elma attım.
I tidied up the room.,Odayı toparladım.
I tightened the knot.,Ben düğümü sıktım.
I tightened the nuts.,Somunları sıktım.
I told Tom about you.,Tom'a senden bahsettim.
I told Tom the truth.,Tom'a doğruyu söyledim.
I told her not to go.,Ona gitmemesini söyledim.
I told you the truth.,Sana doğruyu söyledim.
I told you the truth.,Size doğruyu söyledim.
I told you yesterday.,Sana dün söyledim.
I took Tom's picture.,Tom'un resmini çektim.
I took a cold shower.,Ben soğuk bir duş aldım.
I took a deep breath.,Derin bir nefes aldım.
I took a look around.,Etrafa bir göz attım.
I took a sip of wine.,Bir yudum şarap aldım.
I took out the trash.,Çöpü dışarı çıkardım.
I took the wrong bus.,Ben yanlış bir otobüse bindim.
I totally understand.,Tamamen anlıyorum.
I touched the bottom.,Ben dibe dokundum.
I traveled by myself.,Tek başıma seyahat ettim.
I traveled to Boston.,Boston'a gittim.
I tried not to laugh.,Ben gülmemeye çalıştım.
I tried not to panic.,Panik yapmamaya çalıştım.
I tried not to react.,Ben tepki göstermemeye çalıştım.
I tried not to smile.,Ben gülümsememeye çalıştım.
I tried not to stare.,Bakmamaya çalıştım.
I tried not to worry.,Endişelenmemeye çalıştım.
I tried on the shirt.,Ben gömleği denedim.
I tried on the shoes.,Ayakkabıları denedim.
I tried the shirt on.,Ben gömleği denedim.
I tried the shoes on.,Ayakkabıları denedim.
I tried to be casual.,Gündelikçi olmaya çalıştım.
I tried to be polite.,Kibar olmaya çalıştım.
I tried to keep warm.,Sıcak tutmaya çalıştım.
I tried to kiss Mary.,Ben Mary'yi öpmeye çalıştım.
I tried to look busy.,Meşgul görünmeye çalıştım.
I tried to phone you.,Ben sana telefon etmeyi denedim.
I tried to stay calm.,Ben sakin kalmaya çalıştım.
I tried to trick Tom.,Ben Tom'u kandırmaya çalıştım.
I tried to write him.,Ona yazmaya çalıştım.
I truly believe that.,Gerçekten ona inanıyorum.
I trusted my teacher.,Ben öğretmenime güvendim.
I turned off the fan.,Fanı kapattım.
I turned off the tap.,Musluğu kapattım.
I turned on the heat.,Isıyı açtım.
I turned on the lamp.,Lambayı açtım.
I turned up the heat.,Isıyı açtım.
I unchained the door.,Kapının zincirini söktüm.
I underestimated Tom.,Tom'u küçümsedim.
I underestimated you.,Seni hafife aldım.
I understand my role.,Rolümü anlıyorum.
I unlatched the door.,Ben kapıyı açtım.
I unplugged the iron.,Ütünün fişini çektim.
I unplugged the lamp.,Lambanın fişini çektim.
I used to admire Tom.,Ben Tom'a hayrandım.
I used to be married.,Ben evliydim.
I used to be wealthy.,Eskiden zengindim.
I used to drink beer.,Bira içerdim.
I used to have a dog.,Bir köpeğim vardı.
I used to live there.,Orada yaşardım.
I used to swim a lot.,Eskiden çok yüzerdim.
I usually go on foot.,Genelde yaya giderim.
I value your opinion.,Ben senin fikrine değer veriyorum.
I very much doubt it.,Bundan çok şüpheliyim.
I voted against that.,Ben ona karşı oy verdim.
I waited a long time.,Uzun süre bekledim.
I waited for a reply.,Ben bir cevap bekledim.
I waited for the bus.,Otobüsü bekledim.
I waited three hours.,Üç saat bekledim.
I wake up very early.,Çok erken kalkarım.
I walked for an hour.,Bir saat yürüdüm.
I walked up the hill.,Ben tepeye yürüdüm.
I want Tom beaten up.,Tom'un pataklanmasını istiyorum.
I want Tom to decide.,Tom'un karar vermesini istiyorum.
I want Tom to suffer.,Tom'un acı çekmesini istiyorum.
I want a closer look.,Ben daha yakından bakmak istiyorum.
I want a distraction.,Ben bir oyalanma istiyorum.
I want a distraction.,Vakit geçirecek bir şeyler istiyorum.
I want a distraction.,Kendimi oyalayacak bir şey arıyorum.
I want a lot of them.,Ben onlardan bir sürü istiyorum.
I want a new kitchen.,Yeni bir mutfak istiyorum.
I want a single room.,Tek kişilik bir oda istiyorum.
I want an MP3 player!,Ben bir MP3 çalar istiyorum!
I want an MP3 player.,Ben bir MP3 çalar istiyorum.
I want an answer now.,Şimdi bir yanıt istiyorum.
I want bread and jam.,Ben ekmek ve reçel istiyorum.
I want it to be over.,Bunun bitmesini istiyorum.
I want my money back.,Ben paramı geri istiyorum.
I want my phone back.,Telefonumu geri istiyorum.
I want my shirt back.,Gömleğimi geri istiyorum.
I want one like that.,Böyle bir şey isterim.
I want some of those.,Şunlardan biraz istiyorum.
I want some potatoes.,Birkaç patates istiyorum.
I want some time off.,Biraz izin istiyorum.
I want somebody else.,Ben başka birini istiyorum.
I want something new.,Yeni bir şey istiyorum.
I want the other one.,Öbürünü istiyorum.
I want them all shot.,Hepsinin vurulmasını istiyorum.
I want to be a nurse.,Bir hemşire olmak istiyorum.
I want to be a nurse.,Hemşire olmak istiyorum.
I want to be a pilot.,Pilot olmak istiyorum.
I want to be admired.,Takdir edilmek istiyorum.
I want to be at home.,Evde olmak istiyorum.
I want to be careful.,Dikkatli olmak istiyorum.
I want to be invited.,Ben davet edilmek istiyorum.
I want to be noticed.,Ben fark edilmek istiyorum.
I want to be popular.,Popüler olmak istiyorum.
I want to buy a book.,Bir kitap almak istiyorum.
I want to buy a book.,Bir kitap satın almak istiyorum.
I want to drink milk.,Ben süt içmek istiyorum.
I want to experiment.,Denemek istiyorum.
I want to forget her.,Onu unutmak istiyorum.
I want to get better.,İyileşmek istiyorum.
I want to go camping.,Kampa gitmek istiyorum.
I want to go fishing.,Balığa gitmek istiyorum.
I want to go hunting.,Ava gitmek istiyorum.
I want to go outside.,Dışarı çıkmak istiyorum.
I want to go to Mars.,Mars'a gitmek istiyorum.
I want to go to town.,Şehre gitmek istiyorum.
I want to go with you,Ben seninle gitmek istiyorum.
"I want to leave, too.",Ben de gitmek istiyorum.
I want to make a pie.,Turta yapmak istiyorum.
I want to marry Mary.,Mary ile evlenmek istiyorum.
I want to move ahead.,İlerlemek istiyorum.
I want to play cards.,Ben kart oynamak istiyorum.
I want to play chess.,Satranç oynamak istiyorum.
I want to please you.,Seni memnun etmek istiyorum.
I want to rent a car.,Bir araç kiralamak istiyorum.
I want to see Boston.,Boston'u görmek istiyorum.
I want to see a show.,Ben bir gösteri görmek istiyorum.
I want to see my son.,Oğlumu görmek istiyorum.
I want to start over.,Baştan başlamak istiyorum.
I want to stay alive.,Hayatta kalmak istiyorum.
I want to study math.,Ben matematik okumak istiyorum.
I want to take a nap.,Şekerleme yapmak istiyorum.
I want to take a nap.,Kestirmek istiyorum.
I want to take notes.,Ben not almak istiyorum.
I want to watch this.,Bunu izlemek istiyorum.
I want to wear jeans.,Kot pantolon giymek istiyorum.
I want to work there.,Ben orada çalışmak istiyorum.
I want what you want.,Sizin istediğinizi istiyorum.
I want you back here.,Buraya geri gelmeni istiyorum.
I want you to behave.,Terbiyeli olmanı istiyorum.
I want you to decide.,Karar vermeni istiyorum.
I want you to listen.,Dinlemeni istiyorum.
I want you to listen.,Dinlemenizi istiyorum.
I want you to suffer.,Acı çekmeni istiyorum.
I want you to try it.,Bunu denemeni istiyorum.
I want you to use it.,Bunu kullanmanı istiyorum.
I want your analysis.,Analizini istiyorum.
I want your feedback.,Geri bildirimini istiyorum.
I wanted Tom to come.,Tom'un gelmesini istedim.
I wanted Tom to stay.,Tom'un kalmasını istedim.
I wanted Tom to stop.,Tom'un durmasını istedim.
I wanted be a farmer.,Bir çiftçi olmak istedim.
I wanted it this way.,Onu bu şekilde istedim.
I wanted them to win.,Onların kazanmasını istiyordum.
I wanted to be alone.,Yalnız olmak istedim.
I wanted to be early.,Erken olmak istedim.
I wanted to be ready.,Hazır olmak istedim.
I wanted to be there.,Orada olmak istiyordum.
I wanted to call you.,Seni aramak istedim.
I wanted to call you.,Sizi aramak istedim.
I wanted to go there.,Ben oraya gitmek istedim.
I wanted to have fun.,Eğlenmek istedim.
I wanted to help Tom.,Tom'a yardım etmek istedim.
I wanted to help you.,Sana yardım etmek istedim.
I wanted to help you.,Size yardım etmek istedim.
I wanted to hurt Tom.,Tom'u incitmek istedim.
I wanted to hurt you.,Siz incitmek istedim.
I wanted to hurt you.,Seni incitmek istedim.
I wanted to kill Tom.,Tom'u öldürmek istedim.
I wanted to kill you.,Seni öldürmek istedim.
