input_text,target_text
These are your things.,Bunlar senin şeylerin.
These aren't for sale.,Bunlar satılık değil.
These aren't my ideas.,Bunlar benim fikirlerim değil.
These aren't my ideas.,Bunlar benim düşüncelerim değil.
These books are Tom's.,Bu kitaplar Tom'un.
These books are heavy.,Bu kitaplar ağır.
These boxes are heavy.,Bu kutular ağır.
These gloves are mine.,Bu eldivenler benimdir.
These grapes are ripe.,Bu üzümler olgun.
These jeans are baggy.,Bu pantolon torba gibi bol.
These pants are dirty.,Bu pantolon kirli.
These pears are great.,Bu armutlar harika.
These shoes are Tom's.,Bu ayakkabılar Tom'unki.
These shoes don't fit.,Bu ayakkabılar uymaz.
They all looked happy.,Herkes mutlu görünüyordu.
They all speak French.,Onların hepsi Fransızca konuşuyor.
They almost killed me.,Neredeyse beni öldürüyorlardı.
They already did that.,Onu zaten yaptılar.
They are all the same.,Onların hepsi aynı.
They are almost human.,Onlar neredeyse insan.
They are here to stay.,Onlar burada kalacaklar.
They are out of funds.,Onların fonu bitti.
They are out shopping.,Onlar dışarıda alışveriş yapıyorlar.
They are so beautiful.,Onlar çok güzeller.
They are the same age.,Onlar aynı yaşta.
They aren't that good.,Onlar o kadar iyi değil
They armed the people.,Onlar insanları silâhlandırdılar.
They arrived too soon.,Onlar çok kısa sürede geldi.
They ate marshmallows.,Onlar bisküvileri yedi.
They beat the door in.,Onlar kapıya vurdu.
They both fell asleep.,Her ikisi de uyudu.
They both like sports.,İkisi de sporu sever.
They both look so sad.,Onların her ikisi de çok üzgün görünüyorlar.
They bought a new car.,Onlar yeni bir araba aldı.
They burned some coal.,Onlar biraz kömür yaktılar.
They burned the paper.,Onlar kâğıdı yaktılar.
They burst into tears.,Onlar gözyaşlarına boğuldu.
They came to fight us.,Bize savaşmak için geldiler.
They can't all be bad.,Onların hepsi kötü olamaz.
They can't be ignored.,Onlar ihmal edilemezler.
They can't be serious.,Onlar ciddi olamazlar.
They can't believe it.,Buna inanamıyorlar.
They can't make us go.,Onlar bizi gönderemez.
They carpool together.,Onlar otomobili birlikte kullandılar.
They changed the rule.,Kuralı değiştirdiler.
They closed the doors.,Onlar kapıları kapattı.
They come from Sweden.,Onlar İsveçli.
They continued eating.,Yemeye devam ettiler.
They could be drugged.,Onlar uyuşturulmuş olabilir.
They could hardly see.,Onlar güçlükle görebiliyordu.
They couldn't help us.,Onlar bize yardım edemedi.
They danced for hours.,Saatlerce dans ettiler.
They danced for hours.,Saatler boyunca dans ettiler.
They did not go there.,Onlar oraya gitmedi.
They didn't choose me.,Onlar beni seçmedi.
They didn't get along.,Onlar geçinmediler.
They do terrific work.,Onlar müthiş iş yapıyorlar.
They don't believe me.,Onlar bana inanmıyor.
They don't control me.,Onlar beni kontrol etmiyor.
They don't have a car.,Onların bir arabası yok.
They don't respect me.,Onlar bana saygı duymuyorlar.
They don't seem happy.,Onlar mutlu görünmüyorlar.
They don't understand.,Onlar anlamıyorlar.
They embraced tightly.,Birbirlerine sıkıca sarıldılar.
They entered the room.,Onlar odaya girdiler.
They exchanged hellos.,Onlar selamlaştılar.
They exchanged smiles.,Olar birbirlerine gülümsedi.
They fight constantly.,Onlar sürekli kavga ederler.
They found each other.,Onlar birbirlerini buldular.
They found him guilty.,Onlar onu suçlu buldu.
They ganged up on him.,Onlar ona karşı cephe oluşturdular.
They gave you nothing.,Onlar sana hiçbir şey vermediler.
They got really lucky.,Gerçekten onların şansı yaver gitti.
They had a brief date.,Onlar kısa bir flört yaşadılar.
They hated being here.,Onlar burada olmaktan nefret ediyorlardı.
They hated each other.,Onlar birbirlerinden nefret ediyordu.
They hated each other.,Birbirlerinden nefret ettiler.
They have Tom sedated.,Onlar Tom'u sakinleştirdiler.
They have enough help.,Onların yeterli yardımı var.
They have gotten lazy.,Onlar tembelleşti.
They have information.,Onların bilgisi var.
"They have rights, too.",Onların da hakları var.
They have some doubts.,Onların bazı şüpheleri var.
They have tea at five.,Onlar saat beşte çay içerler.
They huddled together.,Onlar bir araya toplandılar.
They hugged tearfully.,Onlar ağlayarak sarıldı.
They just want change.,Onlar sadece değişim istiyorlar.
They know how to fish.,Onlar balık tutmayı biliyorlar.
They know how to swim.,Onlar nasıl yüzüleceğini biliyor.
They know the routine.,Onlar rutini biliyorlar.
They know their stuff.,Onlar şeylerini bilir.
They know what I want.,Onlar ne istediğimi biliyorlar.
They know what we did.,Onlar ne yaptığımızı biliyorlar.
They know who you are.,Senin kim olduğunu biliyorlar.
They left that for us.,Onlar bunu bizim için bıraktılar.
They lie all the time.,Onlar her zaman yalan söylüyor.
They like it that way.,Onlar bunu o şekilde seviyor.
They like to be alone.,Onlar yalnız olmaktan hoşlanırlar.
They liked each other.,Onlar birbirlerini sevdi.
They liked large cars.,Onlar büyük arabaları seviyorlardı.
They liked their jobs.,Onlar işlerini seviyorlardı.
They live underground.,Yeraltında yaşıyorlar.
They loaded the truck.,Onlar kamyonu yükledi.
They look alike to me.,Onlar bana benziyor.
They look happy today.,Onlar bugün mutlu görünüyor.
They look magnificent.,Onlar muhteşem görünüyor.
They looked very busy.,Onlar çok meşgul görünüyorlardı.
They lost that series.,O serileri kaybettiler.
They made fun of Mary.,Onlar Mary ile alay ettiler.
They made fun of Mary.,Onlar Mary ile alay etti.
They made me go there.,Onlar beni oraya gönderdi.
They may be in danger.,Tehlikede olabilirler.
They may surprise you.,Onlar sizi şaşırtabilir.
They meet once a week.,Onlar haftada bir kez buluşurlar.
They meet once a week.,Haftada bir buluşurlar.
They missed the train.,Onlar treni kaçırdılar.
They moved a year ago.,Bir yıl önce taşındılar.
They must all go away.,Onların hepsi gitmeli.
They must be brothers.,Onlar kardeş olmalı.
They must be punished.,Onlar cezalandırılmalı.
They must be replaced.,Onlar yenisiyle değiştirilmeliler.
They must have failed.,Onlar başarısız olmuş olmalı.
They need our support.,Onlar bizim desteğimize ihtiyaç duyuyorlar.
They needed more time.,Onların daha çok zamana ihtiyacı vardı.
They needed the money.,Onların paraya ihtiyacı vardı.
They needed the space.,Onlar yere ihtiyaç duydular.
They never apologized.,Onlar hiç özür dilemedi.
They never caught Tom.,Tom'u asla yakalamadılar.
They never drink beer.,Onlar hiç bira içmez.
They never lost touch.,Bağlantıyı hiç kaybetmediler.
They never tell a lie.,Onlar hiç yalan söylemez.
They offered it to me.,Onlar bana onu teklif etti.
They put me in charge.,Onlar beni görevlendirdi.
They refused to fight.,Onlar dövüşmeyi reddetti.
They remained friends.,Onlar arkadaş kaldı.
They sat side by side.,Onlar yan yana oturdular.
They sat under a tree.,Bir ağacın altına oturdular.
They sat up all night.,Onlar bütün gece oturdular.
They saw us yesterday.,Onlar dün bizi gördüler.
They say I'm retarded.,Geri zekalı olduğumu söylüyorlar.
They say it will rain.,Yağmur yağacağını söylüyorlar.
They scorned the liar.,Onlar yalancıyı horladılar.
They seem unstoppable.,Onlar durdurulamaz görünüyor.
They settled in Japan.,Onlar Japonya'da yerleştiler.
They shared the money.,Onlar parayı paylaştı.
They should be scared.,Onlar korkmuş olmalı.
They should thank Tom.,Tom'a teşekkür etmeliler.
They shouted for help.,Onlar yardım için bağırdılar.
They started fighting.,Onlar dövüşmeye başladı.
They started shooting.,Onlar ateş etmeye başladı.
They stopped laughing.,Gülmeyi bıraktılar.
They support me a lot.,Onlar bana çok destek verirler.
They talked all night.,Onlar bütün gece konuştu.
They tasted the bread.,Ekmeğin tadına baktılar.
They think it's a toy.,Onlar bunun bir oyuncak olduğunu sanıyor.
They told me about it.,Bana ondan bahsettiler.
They took it by force.,Onlar onu zorla aldılar.
They tried to kill me.,Onlar beni öldürmeye çalıştı.
They tried to kill us.,Onlar bizi öldürmeye çalıştı.
They trust each other.,Birbirlerine güvenirler.
They used truth serum.,Onlar gerçek serum kullandı.
They voted against it.,Onlar buna karşı oy kullandı.
They want me to go in.,İçeri girmemi istiyorlar.
They want to meet you.,Onlar seninle tanışmak istiyor.
They want us to do it.,Onlar bunu yapmamızı istiyor.
They wash their hands.,Onlar ellerini yıkar.
They watched intently.,Dikkatle izlediler.
They went to bed late.,Onlar geç yatmaya gitti.
They were acts of war.,Onlar savaş nedeniydiler.
They were all friends.,Onların hepsi arkadaştı.
They were all smiling.,Onların hepsi gülümsüyorlardı.
They were buying time.,Onlar zaman kazanıyordu.
They were cooperative.,Onlar yardıma hazırdılar.
They were cracking up.,Onlar sinir krizi geçiriyorlardı.
They were left behind.,Onlar arkada bırakıldı.
They were much higher.,Onlar çok daha yüksektiler.
They were never alone.,Onlar asla yalnız değildi.
They were normal kids.,Onlar normal çocuklardı.
They were not invited.,Onlar davet edilmedi.
They were not pleased.,Onlar memnun değildi.
They were really cold.,Onlar gerçekten üşümüştü.
They were really nice.,Onlar gerçekten güzeldi.
They were shorthanded.,Onların elemanı azdı.
They were traumatized.,Travma geçirmişlerdi.
They were unimpressed.,Onlar etkilenmemişti.
They were very polite.,Onlar çok kibardılar.
They were very pretty.,Onlar çok güzeldi.
They weren't all boys.,Onların hepsi erkek çocuğu değildi.
They weren't bluffing.,Onlar blöf yapmıyordu.
They widened the road.,Onlar yolu genişletti.
They will never agree.,Onlar asla aynı fikirde olmayacaklar.
They won't be in time.,Onlar zamanında olmayacak.
They won't believe it.,Onlar ona inanmazlar.
They won't believe me.,Onlar bana inanmayacak.
They won't believe us.,Onlar bize inanmaz.
They won't let Tom in.,Onlar Tom'u içeri sokmayacaklar.
They won't let you go.,Onlar gitmene izin vermeyecek.
They won't understand.,Anlamayacaklardır.
They work really hard.,Onlar gerçekten çok çalışır.
They worked all night.,Onlar bütün gece çalıştı.
They worked like bees.,Onlar arılar gibi çalıştılar.
They'll be unbeatable.,Onlar rakipsiz olacak.
They'll look after me.,Onlar benimle ilgilenecek.
They'll love that one.,Onlar onu sevecek.
They'll never give up.,Onlar asla vazgeçmeyecek.
They'll never succeed.,Onlar asla başarılı olmayacak.
They'll understand us.,Bizi anlayacaklar.
They're able students.,Onlar yetenekli öğrenciler.
They're afraid of Tom.,Onlar Tom'dan korkuyorlar.
They're afraid of him.,Onlar ondan korkuyorlar.
They're all different.,Onların hepsi farklı.
They're all good guys.,Onların hepsi iyi çocuklar.
They're all terrified.,Onların hepsi dehşete kapılmış.
They're already there.,Onlar zaten orada.
They're awfully close.,Onlar çok yakın.
They're both grinning.,Onların her ikisi de sırıtıyor.
They're both laughing.,Onların her ikisi de gülüyor.
They're both laughing.,İkisi de gülüyor.
They're coming for me.,Onlar benim için geliyor.
They're coming for us.,Onlar bizim için geliyor.
They're eating apples.,Onlar elmalar yiyorlar.
They're expecting you.,Onlar seni bekliyorlar.
They're gaining on us.,Onlar bize yaklaşıyorlar.
They're getting ready.,Hazırlanıyorlar.
They're getting worse.,Daha kötüye gidiyorlar.
They're heavily armed.,Onlar aşırı derecede silahlı.
They're in math class.,Onlar matematik dersindeler.
They're in the garden.,Onlar bahçedeler.
They're in the shower.,Onlar duşta.
They're just students.,Onlar sadece öğrenci.
They're my classmates.,Onlar benim sınıf arkadaşlarım.
They're normal people.,Onlar sıradan insanlar.
They're not criminals.,Suçlu değiller.
They're not expensive.,Onlar pahalı değil.
They're not following.,Onlar takip etmiyorlar.
They're not important.,Onlar önemli değil.
They're not prisoners.,Onlar mahkum değil.
They're out of breath.,Onların nefesi kesildi.
They're playing cards.,Onlar iskambil oynuyor.
They're playing chess.,Onlar satranç oynuyor.
They're ready for you.,Onlar senin için hazır.
They're really pretty.,Onlar gerçekten güzel.
They're right outside.,Dışarıdalar.
They're still kissing.,Hâlâ öpüşüyorlar.
They're still looking.,Hâlâ bakıyorlar.
They're still outside.,Hâlâ dışarıdalar.
They're still stunned.,Onlar hâlâ afallıyor.
